pCom pHouse dHouse phiV phiA piV piA
0.00446003351154168 0.355073480296245 0.640727708982641 0.638381182921261 0.822303045680534 0.999918693812442 0.993448518170092
0.00502053861347431 0.395184905760965 0.32409444466641 0.662914415255876 0.888173264922736 0.999150615722184 0.993041663442654
0.00407472842468718 0.406078722829539 0.335020981927574 0.784925527883436 0.850357383290438 0.999239330398507 0.992920814524801
0.00435084987875373 0.362581417674683 0.346893404698423 0.759434217492711 0.873767478578075 0.999538977063928 0.993009434497685
0.00429811937470135 0.401362357539842 0.141233014612291 0.744967052440808 0.823298027632378 0.999483424097015 0.993137326600446
0.00368506212758909 0.40531692226028 0.721643780387988 0.763435577593064 0.883754168085597 0.999384928629891 0.992402560985458
0.00357129246024228 0.375923293355594 0.780139795899615 0.68291503445569 0.86260192599238 0.999294722874705 0.992688083775908
0.00333113429707972 0.300166643085612 0.576913408289243 0.762725018887514 0.877607574835079 0.999221961223307 0.991550172531192
0.00466606239709598 0.271488301822639 0.15815535281375 0.800634858661251 0.897888013480352 0.999661187086038 0.993079643882909
0.0049525014200833 0.240175372098329 0.405368754314341 0.663406299808125 0.843761965364775 0.999856806097402 0.99455056760544
0.00436726465746222 0.343142511427034 0 0.724570802555258 0.889294908314934 0.999205249411604 0.994942037811286
0.00524616904541259 0.22809010123442 0.407503376592625 0.742359819158998 0.804011303954941 0.999574469655538 0.993326760745137
0.003967452767207 0.342566193316474 0.663970532194801 0.698713700775434 0.85221733698979 0.999442719099991 0.992560278916713
0.0045185454258532 0.287250591457737 0.246737306454088 0.747380370973638 0.865339812901698 0.99957647958594 0.992929092468945
0.0041248508361261 0.36211799735047 0.310914948394347 0.671818412943485 0.829680141203972 0.998838812461805 0.992542266014769
0.00427890873943746 0.363167235954794 0 0.7274854064634 0.853594542025247 0.999442719099991 0.993705618860236
0.00310010522192854 0.3327839965015 3.40564770948403 0.799737074769796 0.860497660481129 0.998886287119031 0.993381495536087
0.00595910708383322 0.293970038707079 0.598148646037085 0.701548603625834 0.818908428208916 0.999263717114761 0.992496153750204
0.00552501194200122 0.313263406477178 0.194633468246162 0.61823801151558 0.819809317566945 0.999098300562505 0.992860866434523
0.00437533122533894 0.367465563147494 0.551714349702199 0.690627119040967 0.857103892543374 0.999545320287415 0.993554633562856
0.00380979444968592 0.458881256299938 0 0.719902489699978 0.849097071841265 0.999281064645488 0.993128687128459
0.00346502091757653 0.449820595496386 0 0.730399518782567 0.881064608363508 0.999226422715292 0.994625216742138
0.0045682825604837 0.404163276305764 0 0.706771710949829 0.82716906908654 0.999442719099991 0.992179478987916
0.00433160186373876 0.396568605728286 0.901788015913403 0.756198085417706 0.87163028218526 0.999442719099991 0.992004394444782
0.00386463520665216 0.52073388008419 0 0.673929231576223 0.895845367622478 0.99926216728589 0.992920962378474
0.0044670342683068 0.363528513142028 0.973125419916706 0.706615019064665 0.865817695011108 0.999655581462514 0.993603803649798
0.00339832430222778 0.376400219035521 3.04355323704178 0.766360624963447 0.916742043087226 0.99901153350269 0.994025835730205
0.00327177363572336 0.376637659087471 0.763546717977132 0.706482571541446 0.897072421539358 0.99900432999568 0.992879378259496
0.00565277175865018 0.323685806300432 0.238258439895244 0.78831996370545 0.878963158897988 0.999143374249302 0.992937271514574
0.00261880464507722 0.40438579564459 14.38747206344 0.829958927563578 0.853795170310925 0.998581724646084 0.993153477433062
0.00374947845969409 0.531424035919215 0 0.733894016255355 0.83958289153074 0.999264163261303 0.992423767437125
0.00439413190080718 0.328993995328944 0.513155537376304 0.711864796759685 0.858722215668426 0.999483424097015 0.992264689919496
